M = 1
===  ======  =========  ========
  B    mean      stdev    median
===  ======  =========  ========
 76    7.86   1.457          8
 77    7.7    1.58114        7
 78    7.62   1.56349        7.5
 79    7.26   1.4401         7
 80    7.14   1.56505        7
 81    7.5    1.52864        7
 82    7.1    1.34392        7
 83    7.06   0.977502       7
 84    7.2    1.41421        7
 85    7.16   1.11319        7
 86    6.78   1.20017        6
 87    6.98   1.16916        7
 88    6.56   1.51402        6
 89    6.88   1.20611        7
 90    6.74   1.17473        7
 91    6.7    1.24949        7
 92    6.34   1.13587        6
 93    6.16   1.03726        6
 94    6.32   0.998775       6
 95    6.48   1.26556        6
 96    6.42   1.12649        6
 97    6.34   1.09935        6
 98    6.4    0.968904       6
 99    6.46   1.24884        6
100    6.38   1.53716        6
===  ======  =========  ========
M = 10
===  ======  =========  ========
  B    mean      stdev    median
===  ======  =========  ========
  2  230.52  52.6584       218.5
  3  164.22  41.3553       154
  4  122.46  22.5608       123.5
  5   98.36  24.8857        95
  6   77.28  15.1927        75.5
  7   65.02  16.1959        65
  8   58.32  13.8865        57
  9   51.7   11.0661        52
 10   48.76  10.1992        47
 11   43.88   9.00712       43
 12   40.48   9.39657       38
 13   37.72   9.05322       36
 14   34.02   7.04357       32.5
 15   31.34   7.68144       29
 16   28.8    5.65325       28.5
 17   27.9    5.55951       27.5
 18   26.3    6.18177       25
 19   26.66   5.50551       25.5
 20   23.96   4.21833       23.5
 21   23.52   5.0396        23
 22   20.92   4.15437       21
 23   21.52   4.1465        21
 24   20.5    5.04773       20
 25   20.9    3.45968       21
 26   20.02   4.48348       20
 27   18.5    5.04773       17
 28   16.64   3.08227       17
 29   17.32   4.12281       16
 30   16.1    3.24666       16
 31   15.58   3.68721       15
 32   15.66   3.39634       15
 33   14.98   3.24188       14
 34   15.1    3.0254        15
 35   14.02   2.68397       14
 36   13.94   2.83858       13
 37   14.12   2.77481       14
 38   13.12   2.88303       13
 39   12.74   2.41433       12.5
 40   13.04   2.99632       13
 41   12.42   2.73369       12
 42   13.42   2.58796       13
 43   12.3    2.27004       12
 44   11.44   2.0816        11
 45   12.28   2.88586       12
 46   11.28   2.19499       11
 47   10.98   2.24509       11
 48   11.38   2.5386        11
 49   11.2    2.4661        10
 50   10.42   2.31314       10
 51    9.86   1.56505       10
 52   10.26   2.59363       10
